image,feature_idx
https://www.valentino.com/11/11786100hi_tools_f2l.jpg,591
https://www.valentino.com/50/50249186qb_tools_f2l.jpg,602
https://www.valentino.com/12/12317456vk_tools_f2l.jpg,613
https://www.valentino.com/11/11786126ea_tools_f2l.jpg,624
https://www.valentino.com/12/12574071td_tools_f2l.jpg,635
https://www.valentino.com/11/11886090jk_tools_f2l.jpg,646
https://www.valentino.com/35/35461542hg_tools_f2l.jpg,657
https://www.valentino.com/35/35455138sa_tools_f2l.jpg,669
https://www.valentino.com/46/46641756ge_tools_f2l.jpg,680
https://www.valentino.com/45/45418000ex_tools_f2l.jpg,691
https://www.valentino.com/50/50249199ik_tools_f2l.jpg,702
https://www.valentino.com/50/50236115vp_tools_f2l.jpg,713
https://www.valentino.com/12/12551405fv_tools_f2l.jpg,724
https://www.valentino.com/16/16015119kp_tools_f2l.jpg,735
https://www.valentino.com/17/17044684lj_tools_f2l.jpg,746
https://www.valentino.com/17/17044622xc_tools_f2l.jpg,757
https://www.valentino.com/11/11886077ti_tools_f2l.jpg,768
https://www.valentino.com/22/22009786ei_tools_f2l.jpg,780
https://www.valentino.com/17/17011428ar_tools_f2l.jpg,791
https://www.valentino.com/11/11970237xj_tools_f2l.jpg,802
https://www.valentino.com/15/15118496vx_tools_f2l.jpg,813
https://www.valentino.com/45/45529999nt_tools_f2l.jpg,824
https://www.valentino.com/13/13528936xd_tools_f2l.jpg,835
https://www.valentino.com/46/46747330vw_tools_f2l.jpg,846
https://www.valentino.com/50/50252549bv_tools_f2l.jpg,857
https://www.valentino.com/45/45351360tt_tools_f2l.jpg,868
https://www.valentino.com/46/46750097cf_tools_f2l.jpg,879
https://www.valentino.com/41/41951571ot_tools_f2l.jpg,891
https://www.valentino.com/46/46623071pg_tools_f2l.jpg,902
https://www.valentino.com/11/11595022dk_tools_f2l.jpg,913
https://www.valentino.com/95/95001380lv_tools_f2l.jpg,924
https://www.valentino.com/41/41978372fo_tools_f2l.jpg,935
https://www.valentino.com/15/15118470mh_tools_f2l.jpg,946
https://www.valentino.com/16/16015144ab_tools_f2l.jpg,957
https://www.valentino.com/22/22008633hv_tools_f2l.jpg,968
https://www.valentino.com/49/49611388fe_tools_f2l.jpg,979
https://www.valentino.com/62/62001840ru_tools_f2l.jpg,990
https://www.valentino.com/12/12522012uw_tools_f2l.jpg,1002
https://www.valentino.com/46/46632428kl_tools_f2l.jpg,1013
https://www.valentino.com/12/12574184jp_tools_f2l.jpg,1024
https://www.valentino.com/47/47283614gi_tools_f2l.jpg,1035
https://www.valentino.com/13/13574932ej_tools_f2l.jpg,1046
https://www.valentino.com/22/22010388nd_tools_f2l.jpg,1057
https://www.valentino.com/47/47265696js_tools_f2l.jpg,1068
https://www.valentino.com/46/46727943bg_tools_f2l.jpg,1079
https://www.valentino.com/12/12391758wk_tools_f2l.jpg,1090
https://www.valentino.com/14/14110044xs_tools_f2l.jpg,1101
https://www.valentino.com/22/22010628hd_tools_f2l.jpg,1114
https://www.valentino.com/16/16029323ig_tools_f2l.jpg,1125
https://www.valentino.com/11/11970147pn_tools_f2l.jpg,1136
https://www.valentino.com/13/13400976vl_tools_f2l.jpg,1147
https://www.valentino.com/12/12574137pe_tools_f2l.jpg,1158
https://www.valentino.com/13/13499707gl_tools_f2l.jpg,1169
https://www.valentino.com/46/46727948kw_tools_f2l.jpg,1180
https://www.valentino.com/50/50254109hh_tools_f2l.jpg,1191
https://www.valentino.com/50/50236138ic_tools_f2l.jpg,1202
https://www.valentino.com/45/45545506ee_tools_f2l.jpg,1213
https://www.valentino.com/46/46699923tm_tools_f2l.jpg,1225
https://www.valentino.com/13/13400947qk_tools_f2l.jpg,1236
https://www.valentino.com/46/46508398ta_tools_f2l.jpg,1247
https://www.valentino.com/12/12574167ob_tools_f2l.jpg,1258
https://www.valentino.com/12/12574075ga_tools_f2l.jpg,1269
https://www.valentino.com/13/13574931no_tools_f2l.jpg,1280
https://www.valentino.com/13/13400799ee_tools_f2l.jpg,1291
https://www.valentino.com/11/11135823qb_tools_f2l.jpg,1302
https://www.valentino.com/50/50249172rc_tools_f2l.jpg,1313
https://www.valentino.com/41/41930437lw_tools_f2l.jpg,1324
https://www.valentino.com/11/11668745kg_tools_f2l.jpg,1336
https://www.valentino.com/13/13400942uo_tools_f2l.jpg,1347
https://www.valentino.com/11/11886220cw_tools_f2l.jpg,1358
https://www.valentino.com/22/22009741ct_tools_f2l.jpg,1369
https://www.valentino.com/45/45350472lh_tools_f2l.jpg,1380
https://www.valentino.com/45/45474176xw_tools_f2l.jpg,1391
https://www.valentino.com/12/12463642ut_tools_f2l.jpg,1402
https://www.valentino.com/11/11971254jg_tools_f2l.jpg,1413
https://www.valentino.com/45/45545507lw_tools_f2l.jpg,1424
https://www.valentino.com/22/22005588ge_tools_f2l.jpg,1435
https://www.valentino.com/16/16015113wd_tools_f2l.jpg,1447
https://www.valentino.com/47/47268448dg_tools_f2l.jpg,1458
https://www.valentino.com/46/46727922ul_tools_f2l.jpg,1469
https://www.valentino.com/13/13448758ag_tools_f2l.jpg,1480
https://www.valentino.com/11/11785737lg_tools_f2l.jpg,1491
https://www.valentino.com/41/41984431gl_tools_f2l.jpg,1502
